account_id,product_type,geography,vintage_year,risk_segment,actual_loss,predicted_loss,exposure_k
ACC000034,Mortgage,Midwest,2020,Medium,0.00764,0.00691,223.94
ACC000035,Credit Card,Midwest,2021,Low,0.03168,0.06202,235.26
ACC000036,Mortgage,West,2022,Low,0.00866,0.00111,20.81
ACC000037,Credit Card,Southeast,2020,Medium,0.07026,0.10053,654.39
ACC000038,Commercial,Midwest,2019,Low,0.00992,0.00949,64.4
ACC000039,Mortgage,Northeast,2021,High,0.0227,0.01785,206.42
ACC000040,Mortgage,Southeast,2023,High,0.02596,0.02807,155.27
ACC000041,Mortgage,Midwest,2019,Medium,0.01181,0.00983,146.37
ACC000042,Auto,Southeast,2020,Low,0.01599,0.0169,48.22
ACC000043,Credit Card,Northeast,2021,Medium,0.07015,0.1021,144.14
ACC000044,Mortgage,Northeast,2020,Low,0.00452,0.00584,205.05
ACC000045,Auto,West,2023,Medium,0.02405,0.01869,116.84
ACC000046,Auto,West,2021,Low,0.0165,0.01497,167.52
ACC000047,Mortgage,Northeast,2021,Low,0.00369,0.01221,556.79
ACC000048,Mortgage,Northeast,2019,Low,0.00626,0.01184,84.31
ACC000049,Mortgage,West,2019,High,0.02401,0.02735,325.07
ACC000050,Credit Card,Northeast,2019,Low,0.03508,0.06617,115.3
ACC000051,Mortgage,Midwest,2019,Low,0.00992,0.00596,820.12
ACC000052,Mortgage,Southeast,2021,Low,0.00651,0.00586,27.46
ACC000053,Auto,West,2023,Medium,0.0277,0.02601,709.5
ACC000054,Credit Card,Midwest,2022,High,0.16037,0.19003,78.42
ACC000055,Credit Card,West,2020,Low,0.03855,0.06276,1870.84
ACC000056,Auto,Northeast,2019,Low,0.01396,0.01778,250.22
ACC000057,Auto,Northeast,2021,Low,0.01658,0.00583,411.7
ACC000058,Credit Card,West,2022,Medium,0.06974,0.10317,122.35
ACC000059,Commercial,Northeast,2022,Medium,0.01567,0.01918,335.92
ACC000060,Auto,Southeast,2021,Medium,0.02354,0.03285,335.75
ACC000061,Credit Card,Northeast,2020,Medium,0.06722,0.09622,125.1
ACC000062,Mortgage,Northeast,2021,Low,0.00691,0.00483,371.35
ACC000063,Auto,Midwest,2022,High,0.06064,0.06112,2.63
ACC000064,Commercial,Northeast,2023,Medium,0.01271,0.01495,68.51
ACC000065,Mortgage,Northeast,2019,Medium,0.01101,0.01065,152.27
ACC000066,Mortgage,West,2022,Low,0.00558,0.001,271.04
ACC000067,Credit Card,Midwest,2022,Medium,0.06839,0.10062,476.48
ACC000068,Commercial,Northeast,2020,Medium,0.01931,0.01931,109.59
ACC000069,Mortgage,West,2019,Low,0.00266,0.001,92.89
ACC000070,Commercial,West,2020,Low,0.02023,0.01373,422.35
ACC000071,Mortgage,Southeast,2020,Medium,0.01145,0.02133,591.02
ACC000072,Commercial,Southeast,2019,Medium,0.01296,0.01629,360.62
ACC000073,Commercial,Midwest,2020,Low,0.00551,0.00775,123.51
ACC000074,Credit Card,Northeast,2019,High,0.1769,0.20644,3159.86
ACC000075,Commercial,West,2023,Low,0.00346,0.00622,163.24
ACC000076,Commercial,Northeast,2019,Low,0.01054,0.00633,192.43
ACC000077,Commercial,West,2021,Low,0.001,0.0018,1053.14
ACC000078,Auto,Midwest,2020,Medium,0.0317,0.03267,928.59
ACC000079,Auto,Northeast,2023,Low,0.01494,0.01083,346.89
ACC000080,Mortgage,Southeast,2021,Medium,0.00963,0.00921,50.3
ACC000081,Mortgage,Southeast,2021,Low,0.00825,0.0066,169.9
ACC000082,Credit Card,West,2020,Low,0.03122,0.05817,276.15
ACC000083,Mortgage,Midwest,2023,Low,0.00247,0.001,1544.53
ACC000084,Commercial,Southeast,2022,Low,0.00952,0.0027,5113.83
ACC000085,Mortgage,Southeast,2021,Low,0.00487,0.00912,72.33
ACC000086,Mortgage,Northeast,2020,Low,0.00387,0.01012,412.9
ACC000087,Mortgage,Midwest,2021,Low,0.00516,0.00145,55.81
ACC000088,Mortgage,Midwest,2020,Medium,0.01546,0.0199,127.76
ACC000089,Mortgage,West,2022,High,0.03009,0.02996,52.4
ACC000090,Auto,Midwest,2020,Medium,0.03003,0.02999,1100.02
ACC000091,Mortgage,Southeast,2020,Low,0.00468,0.001,197.43
ACC000092,Credit Card,Southeast,2021,Low,0.03456,0.06233,211.06
ACC000093,Auto,Southeast,2023,Low,0.00991,0.01204,157.45
ACC000094,Credit Card,Midwest,2021,Medium,0.06951,0.09561,233.12
ACC000095,Credit Card,Northeast,2023,Low,0.03285,0.05988,242.88
ACC000096,Mortgage,Northeast,2021,High,0.03329,0.03126,65.22
ACC000097,Mortgage,West,2019,Low,0.00359,0.001,19.58
ACC000098,Credit Card,Northeast,2021,Medium,0.06322,0.09453,30.18
ACC000099,Credit Card,Northeast,2023,Medium,0.06165,0.0942,21.48
ACC000100,Mortgage,Midwest,2023,Low,0.00418,0.00564,187.52
ACC000101,Credit Card,Northeast,2019,Low,0.039,0.07277,55.71
ACC000102,Mortgage,Midwest,2020,Low,0.0097,0.00793,481.12
ACC000103,Mortgage,Midwest,2022,Medium,0.01561,0.02285,198.1
ACC000104,Mortgage,Northeast,2021,High,0.02768,0.0243,16.4
ACC000105,Credit Card,Southeast,2023,Low,0.03264,0.06174,90.69
ACC000106,Mortgage,West,2021,Low,0.00395,0.00266,11.62
ACC000107,Auto,Southeast,2020,Low,0.01503,0.01577,37.6
ACC000108,Mortgage,Midwest,2020,Low,0.00559,0.00463,82.41
ACC000109,Mortgage,Midwest,2019,High,0.02968,0.02927,47.73
ACC000110,Mortgage,Southeast,2020,Low,0.01122,0.00851,1424.96
ACC000111,Auto,Midwest,2022,Low,0.0091,0.00734,364.51
ACC000112,Credit Card,Southeast,2020,Medium,0.06899,0.09005,100.14
ACC000113,Credit Card,Northeast,2021,Low,0.03316,0.06637,822.43
ACC000114,Mortgage,Southeast,2019,Low,0.00793,0.00384,46.09
ACC000115,Mortgage,Southeast,2021,Low,0.00221,0.001,99.62
ACC000116,Mortgage,West,2023,Medium,0.0091,0.00486,413.51
ACC000117,Commercial,Midwest,2022,High,0.03759,0.03987,38.91
ACC000118,Auto,Midwest,2022,High,0.05887,0.0567,337.66
ACC000119,Credit Card,Southeast,2020,Medium,0.07249,0.09271,210.89
ACC000120,Mortgage,Midwest,2020,Medium,0.00709,0.00821,300.57
ACC000121,Auto,West,2019,Medium,0.02519,0.0222,1282.91
ACC000122,Auto,West,2023,Low,0.01534,0.01525,256.38
ACC000123,Auto,Northeast,2023,Low,0.0115,0.01482,172.65
ACC000124,Auto,Southeast,2020,Low,0.01347,0.00952,24.61
ACC000125,Mortgage,Southeast,2022,Low,0.00441,0.0042,191.01
ACC000126,Auto,Midwest,2020,High,0.0751,0.07201,83.43
ACC000127,Commercial,Midwest,2022,Medium,0.01409,0.01804,128.03
ACC000128,Mortgage,West,2019,High,0.03179,0.0321,84.09
ACC000129,Credit Card,Midwest,2020,Low,0.03108,0.06098,267.69
ACC000130,Commercial,West,2020,Low,0.00962,0.00465,45.21
ACC000131,Auto,Northeast,2023,High,0.06521,0.06821,191.42
ACC000132,Auto,Northeast,2021,Low,0.01797,0.02147,42.53
ACC000133,Mortgage,Midwest,2020,Medium,0.00685,0.00379,17.14
ACC000134,Credit Card,Midwest,2019,Low,0.03511,0.06573,98.49
ACC000135,Commercial,West,2019,High,0.0498,0.05215,258.96
ACC000136,Commercial,Midwest,2020,Low,0.01139,0.02026,58.42
ACC000137,Mortgage,Southeast,2020,High,0.02815,0.02972,174.85
ACC000138,Commercial,Midwest,2019,Low,0.00901,0.00901,96.01
ACC000139,Mortgage,Northeast,2022,Low,0.00614,0.00552,42.84
ACC000140,Auto,Southeast,2020,Medium,0.02763,0.02725,289.67
ACC000141,Mortgage,Northeast,2020,Low,0.00739,0.01046,67.93
ACC000142,Mortgage,Northeast,2021,Low,0.00697,0.00344,232.65
ACC000143,Auto,Southeast,2020,Medium,0.02541,0.02914,25.73
ACC000144,Auto,Northeast,2022,Low,0.01166,0.00549,174.89
ACC000145,Commercial,Northeast,2021,Low,0.00689,0.00955,313.76
ACC000146,Mortgage,West,2023,Low,0.00423,0.00801,226.36
ACC000147,Commercial,West,2022,Medium,0.01656,0.01978,433.13
ACC000148,Auto,Midwest,2020,Low,0.01492,0.016,322.01
ACC000149,Mortgage,West,2019,Medium,0.00984,0.01142,212.53
ACC000150,Mortgage,Northeast,2019,Medium,0.01602,0.01442,409.61
ACC000151,Credit Card,West,2022,Low,0.03152,0.05702,94.77
ACC000152,Credit Card,Southeast,2019,Medium,0.07639,0.10739,277.42
ACC000153,Mortgage,Southeast,2020,Medium,0.01582,0.0161,152.34
ACC000154,Auto,West,2019,Medium,0.02682,0.03052,1367.5
ACC000155,Auto,Southeast,2020,Low,0.0129,0.01234,206.07
ACC000156,Auto,Midwest,2023,Medium,0.02375,0.02438,31.74
ACC000157,Credit Card,Southeast,2019,Low,0.03694,0.06809,201.07
ACC000158,Credit Card,Midwest,2023,Low,0.03218,0.06447,47.4
ACC000159,Mortgage,Northeast,2023,Low,0.00544,0.00924,355.74
ACC000160,Mortgage,Northeast,2023,High,0.02335,0.01953,363.51
ACC000161,Mortgage,Midwest,2022,Low,0.0102,0.01301,71.46
ACC000162,Commercial,West,2019,Medium,0.01668,0.01596,42.72
ACC000163,Auto,Northeast,2019,Low,0.01723,0.0198,174.05
ACC000164,Mortgage,Midwest,2023,Low,0.00489,0.0108,50.16
ACC000165,Credit Card,Northeast,2020,Low,0.0343,0.05587,54.26
ACC000166,Auto,Midwest,2021,Low,0.01577,0.02063,80.86
ACC000167,Mortgage,West,2019,Medium,0.01663,0.01616,313.93
ACC000168,Mortgage,Southeast,2019,Medium,0.01291,0.00949,25.01
ACC000169,Credit Card,West,2021,Low,0.03153,0.05978,60.02
ACC000170,Credit Card,Southeast,2021,Low,0.03744,0.06331,2639.87
ACC000171,Mortgage,West,2022,Low,0.00673,0.00876,1547.76
ACC000172,Mortgage,Midwest,2023,Medium,0.01051,0.00637,633.82
ACC000173,Mortgage,Southeast,2019,Low,0.00908,0.0139,156.42
ACC000174,Credit Card,Southeast,2023,High,0.15097,0.18373,365.91
ACC000175,Mortgage,West,2023,Low,0.01237,0.01328,93.54
ACC000176,Mortgage,Southeast,2021,Low,0.00551,0.001,5.78
ACC000177,Mortgage,Southeast,2020,Medium,0.01495,0.00966,74.87
ACC000178,Commercial,Midwest,2019,Medium,0.01933,0.01901,84.03
ACC000179,Auto,Northeast,2020,Low,0.01569,0.01559,153.53
ACC000180,Mortgage,Northeast,2022,Low,0.00416,0.00792,264.96
ACC000181,Auto,Southeast,2019,Low,0.01393,0.00228,1076.11
ACC000182,Credit Card,Southeast,2023,Low,0.03149,0.05845,154.18
ACC000183,Commercial,Midwest,2019,Medium,0.0154,0.01874,44.51
ACC000184,Commercial,Southeast,2022,Medium,0.01402,0.01267,117.32
ACC000185,Auto,Southeast,2023,Low,0.01255,0.01068,321.48
ACC000186,Auto,West,2020,Low,0.0181,0.01165,129.71
ACC000187,Mortgage,West,2021,Medium,0.01124,0.01548,56.59
ACC000188,Credit Card,Southeast,2021,Medium,0.06619,0.09425,278.52
ACC000189,Credit Card,Southeast,2022,Medium,0.05982,0.0942,37.66
ACC000190,Mortgage,Midwest,2019,Medium,0.01709,0.02295,51.71
ACC000191,Auto,West,2020,Low,0.0177,0.02296,244.52
ACC000192,Mortgage,Midwest,2019,Medium,0.01566,0.01553,57.84
ACC000193,Credit Card,Northeast,2020,Low,0.03014,0.05821,97.22
ACC000194,Mortgage,Midwest,2022,Medium,0.01155,0.00935,151.27
ACC000195,Mortgage,Midwest,2021,Low,0.00269,0.01056,141.13
ACC000196,Mortgage,West,2021,Medium,0.01331,0.01247,46.47
ACC000197,Mortgage,West,2021,Low,0.00647,0.01068,220.23
ACC000198,Mortgage,Midwest,2019,Low,0.00756,0.00949,49.35
ACC000199,Credit Card,Midwest,2019,Low,0.03385,0.0622,1075.75
ACC000200,Credit Card,Northeast,2020,Medium,0.06588,0.09487,91.68
ACC000201,Auto,West,2019,Medium,0.02808,0.03281,307.81
ACC000202,Mortgage,Southeast,2023,Low,0.00592,0.00605,357.73
ACC000203,Commercial,Midwest,2023,Low,0.00677,0.00496,96.95
ACC000204,Commercial,Midwest,2021,Low,0.00901,0.00578,46.5
ACC000205,Auto,Northeast,2022,Medium,0.02318,0.02446,356.24
ACC000206,Credit Card,Southeast,2019,Medium,0.07198,0.09991,26.92
ACC000207,Credit Card,Midwest,2019,Medium,0.07619,0.10856,32.34
ACC000208,Credit Card,Southeast,2022,Medium,0.064,0.10417,307.47
ACC000209,Mortgage,Midwest,2022,Medium,0.01168,0.01376,116.64
ACC000210,Auto,Midwest,2023,Low,0.01371,0.02093,63.54
ACC000211,Mortgage,Northeast,2020,Medium,0.00996,0.0071,81.58
ACC000212,Credit Card,Southeast,2021,Low,0.0379,0.07063,57.13
ACC000213,Credit Card,Southeast,2022,Medium,0.06407,0.09909,2033.21
ACC000214,Commercial,Southeast,2019,Medium,0.01853,0.02405,503.74
ACC000215,Mortgage,Northeast,2023,High,0.02706,0.03218,55.19
ACC000216,Auto,Northeast,2020,Low,0.0172,0.01726,101.98
ACC000217,Credit Card,Southeast,2019,Medium,0.06826,0.10182,303.74
ACC000218,Commercial,West,2022,Medium,0.01592,0.01185,46.02
ACC000219,Commercial,West,2023,High,0.04421,0.05063,75.91
ACC000220,Mortgage,West,2021,Low,0.01047,0.00666,103.78
ACC000221,Commercial,West,2019,Medium,0.01768,0.0227,51.54
ACC000222,Commercial,West,2019,Low,0.01118,0.01536,553.18
ACC000223,Commercial,Midwest,2020,High,0.04215,0.04629,62.98
ACC000224,Auto,Northeast,2021,Medium,0.02856,0.03682,129.06
ACC000225,Credit Card,Southeast,2022,Medium,0.06163,0.09583,170.72
ACC000226,Mortgage,Midwest,2022,Low,0.00382,0.001,995.63
ACC000227,Mortgage,Southeast,2022,Medium,0.00872,0.01108,133.81
ACC000228,Mortgage,Southeast,2020,Medium,0.01655,0.00899,1928.21
ACC000229,Auto,Northeast,2019,Low,0.01356,0.01319,96.04
ACC000230,Commercial,Southeast,2023,Medium,0.01843,0.01674,113.87
ACC000231,Auto,Southeast,2019,Medium,0.02871,0.03126,456.85
ACC000232,Auto,West,2021,Low,0.01211,0.00882,1486.37
ACC000233,Credit Card,West,2020,Medium,0.07017,0.097,108.05
ACC000234,Auto,Northeast,2022,Low,0.00923,0.01123,654.18
ACC000235,Auto,Midwest,2020,Medium,0.03074,0.03544,410.31
ACC000236,Auto,West,2019,Low,0.01459,0.0146,59.56
ACC000237,Auto,Southeast,2020,Medium,0.0271,0.03639,145.22
ACC000238,Auto,West,2019,Low,0.0127,0.01133,141.34
ACC000239,Credit Card,Northeast,2019,Medium,0.07791,0.11063,43.04
ACC000240,Auto,Southeast,2021,Medium,0.0274,0.02876,180.73
ACC000241,Auto,West,2023,Medium,0.02477,0.0234,163.37
ACC000242,Auto,Midwest,2020,Low,0.01699,0.02224,232.68
ACC000243,Commercial,Southeast,2022,Medium,0.01323,0.00966,161.39
ACC000244,Auto,West,2021,Medium,0.0309,0.0226,66.64
ACC000245,Credit Card,Southeast,2023,Low,0.02989,0.05939,2794.46
ACC000246,Auto,West,2021,Low,0.0096,0.00857,192.55
ACC000247,Mortgage,Southeast,2019,Low,0.00441,0.00866,706.19
ACC000248,Auto,Southeast,2021,Medium,0.02421,0.01922,251.06
ACC000249,Mortgage,Southeast,2019,Low,0.00624,0.00834,905.4
ACC000250,Mortgage,Southeast,2020,Medium,0.00912,0.01073,58.48
ACC000251,Mortgage,Midwest,2021,Medium,0.00829,0.00958,133.39
ACC000252,Credit Card,West,2023,Low,0.03088,0.06505,86.69
ACC000253,Auto,Midwest,2022,Low,0.01326,0.01316,74.71
ACC000254,Auto,Northeast,2020,Low,0.018,0.01821,204.59
ACC000255,Auto,Midwest,2022,Low,0.01662,0.01842,110.45
ACC000256,Mortgage,Southeast,2020,Low,0.00593,0.00553,26.77
ACC000257,Commercial,Northeast,2019,Medium,0.0195,0.01409,103.21
ACC000258,Commercial,Southeast,2022,High,0.03515,0.03351,93.39
ACC000259,Credit Card,West,2023,Low,0.03209,0.06105,427.04
ACC000260,Mortgage,Southeast,2022,Low,0.00648,0.00423,26.15
ACC000261,Commercial,Midwest,2021,Medium,0.01936,0.0181,80.2
ACC000262,Credit Card,Northeast,2021,High,0.16408,0.1948,60.31
ACC000263,Mortgage,West,2020,High,0.02786,0.02676,362.84
ACC000264,Mortgage,West,2023,High,0.02413,0.02754,77.13
ACC000265,Mortgage,Northeast,2021,Low,0.0098,0.01328,520.75
ACC000266,Credit Card,Midwest,2023,High,0.15085,0.17133,140.26
ACC000267,Auto,West,2019,Low,0.01051,0.00478,267.13
ACC000268,Mortgage,West,2020,Low,0.00768,0.001,559.39
ACC000269,Mortgage,Midwest,2020,Medium,0.01011,0.00901,35.07
ACC000270,Auto,Midwest,2019,Medium,0.03325,0.03191,110.32
ACC000271,Credit Card,Midwest,2023,Medium,0.06162,0.09222,246.0
ACC000272,Auto,Northeast,2019,Medium,0.03372,0.03709,188.19
ACC000273,Mortgage,Northeast,2021,Medium,0.01412,0.01395,31.3
ACC000274,Auto,Southeast,2020,Low,0.01719,0.01478,342.34
ACC000275,Commercial,Southeast,2019,Low,0.0124,0.01239,157.16
ACC000276,Mortgage,West,2023,Medium,0.01245,0.01047,173.1
ACC000277,Auto,West,2020,Low,0.01229,0.00638,113.79
ACC000278,Mortgage,Southeast,2020,Low,0.00232,0.00615,3.26
ACC000279,Mortgage,Southeast,2019,Low,0.00351,0.00521,285.59
ACC000280,Commercial,Midwest,2022,Medium,0.01794,0.02374,300.55
ACC000281,Commercial,Midwest,2023,High,0.03083,0.02588,89.5
ACC000282,Mortgage,West,2020,Medium,0.01145,0.00499,24.99
ACC000283,Mortgage,Midwest,2023,Medium,0.0092,0.00546,78.06
ACC000284,Mortgage,Midwest,2021,Medium,0.01467,0.01627,489.8
ACC000285,Auto,West,2021,Low,0.0134,0.01683,90.97
ACC000286,Mortgage,West,2023,Medium,0.00889,0.01004,152.48
ACC000287,Auto,Southeast,2023,Medium,0.02895,0.02952,99.46
ACC000288,Mortgage,Southeast,2022,High,0.02597,0.02939,216.69
ACC000289,Credit Card,West,2020,Low,0.03374,0.0619,30.56
ACC000290,Commercial,Northeast,2021,High,0.03978,0.04401,116.43
ACC000291,Mortgage,Southeast,2023,Medium,0.01086,0.0188,553.1
ACC000292,Credit Card,Northeast,2020,Low,0.03351,0.05925,49.38
ACC000293,Credit Card,West,2021,Medium,0.06502,0.094,106.72
ACC000294,Mortgage,West,2022,Low,0.0096,0.00404,525.06
ACC000295,Commercial,Southeast,2023,Medium,0.01515,0.01129,363.6
ACC000296,Auto,Northeast,2021,Low,0.01241,0.01398,255.41
ACC000297,Auto,Northeast,2023,Medium,0.02201,0.01527,236.66
ACC000298,Credit Card,Midwest,2023,Medium,0.0606,0.08748,232.21
ACC000299,Mortgage,Southeast,2021,Medium,0.00932,0.01354,112.55
ACC000300,Mortgage,West,2020,Low,0.00465,0.00554,556.99
ACC000301,Auto,West,2019,High,0.07245,0.07552,84.59
ACC000302,Credit Card,Southeast,2019,High,0.18059,0.20542,45.01
ACC000303,Commercial,Midwest,2019,Medium,0.01409,0.01436,28.2
ACC000304,Auto,Northeast,2019,Low,0.01623,0.02378,70.81
ACC000305,Mortgage,Northeast,2020,High,0.02711,0.02446,69.74
ACC000306,Mortgage,Southeast,2023,Medium,0.01215,0.0102,63.2
ACC000307,Commercial,Northeast,2020,High,0.04458,0.04691,36.21
ACC000308,Mortgage,Northeast,2020,Low,0.00606,0.00246,232.49
ACC000309,Commercial,Midwest,2020,Medium,0.01979,0.02266,47.67
ACC000310,Mortgage,Northeast,2021,Low,0.01017,0.00298,286.62
ACC000311,Mortgage,Northeast,2021,Medium,0.01481,0.0051,352.55
ACC000312,Mortgage,Midwest,2021,Medium,0.00707,0.00833,3253.87
ACC000313,Auto,Northeast,2019,Low,0.01318,0.00926,86.01
ACC000314,Mortgage,Northeast,2020,Low,0.0043,0.00204,122.53
ACC000315,Commercial,Midwest,2023,Medium,0.01692,0.02042,60.61
ACC000316,Auto,Northeast,2023,Low,0.01093,0.01343,36.38
ACC000317,Mortgage,Southeast,2019,Medium,0.01032,0.00541,89.63
ACC000318,Auto,Midwest,2022,Low,0.01092,0.013,58.49
ACC000319,Mortgage,Northeast,2019,Low,0.0069,0.0057,35.84
ACC000320,Credit Card,Midwest,2021,Medium,0.0679,0.09957,197.16
ACC000321,Credit Card,Southeast,2019,High,0.17637,0.20628,41.0
ACC000322,Commercial,Southeast,2022,Low,0.00633,0.001,292.67
ACC000323,Auto,Midwest,2023,Low,0.00681,0.00396,414.47
ACC000324,Mortgage,Northeast,2019,High,0.02282,0.01318,52.58
ACC000325,Auto,Midwest,2021,High,0.0702,0.07094,794.9
ACC000326,Auto,Southeast,2019,Medium,0.03095,0.03253,240.19
ACC000327,Auto,Northeast,2019,Medium,0.03052,0.0277,135.98
ACC000328,Mortgage,West,2022,Low,0.01001,0.00955,17.56
ACC000329,Mortgage,Southeast,2019,Medium,0.00697,0.00308,18.99
ACC000330,Commercial,Northeast,2019,Medium,0.01176,0.01679,979.65
ACC000331,Commercial,Southeast,2020,High,0.03975,0.03461,723.11
ACC000332,Mortgage,Midwest,2020,Low,0.001,0.001,1011.87
ACC000333,Commercial,Southeast,2023,Low,0.00566,0.001,1378.49
ACC000334,Credit Card,Southeast,2020,High,0.17425,0.20519,772.52
ACC000335,Mortgage,Northeast,2021,High,0.02839,0.03254,197.56
ACC000336,Commercial,Northeast,2019,Medium,0.02108,0.01278,290.55
ACC000337,Commercial,Southeast,2020,Low,0.00974,0.01235,65.29
ACC000338,Auto,Southeast,2020,Medium,0.02754,0.03406,197.61
ACC000339,Credit Card,Midwest,2020,Low,0.03292,0.06344,363.12
ACC000340,Mortgage,Southeast,2020,Low,0.00706,0.00436,371.59
ACC000341,Auto,Northeast,2019,Low,0.01041,0.01026,127.67
ACC000342,Credit Card,Midwest,2021,Low,0.02347,0.05128,12.99
ACC000343,Auto,West,2021,Medium,0.02867,0.03653,24.15
ACC000344,Mortgage,West,2021,Low,0.0062,0.00954,262.75
ACC000345,Auto,West,2021,Medium,0.03221,0.03581,80.93
ACC000346,Credit Card,Southeast,2021,Low,0.03509,0.07371,329.73
ACC000347,Credit Card,Southeast,2022,Low,0.03243,0.06781,34.44
ACC000348,Mortgage,Northeast,2020,High,0.02781,0.02733,760.44
ACC000349,Auto,Midwest,2019,Medium,0.02757,0.02767,48.18
ACC000350,Mortgage,Southeast,2022,Low,0.00441,0.01385,872.9
ACC000351,Auto,Midwest,2019,Medium,0.03287,0.02991,23.06
ACC000352,Mortgage,Southeast,2020,Low,0.00714,0.00645,306.13
ACC000353,Commercial,Northeast,2021,Low,0.01105,0.007,48.53
ACC000354,Auto,Midwest,2021,Low,0.01407,0.0068,146.84
ACC000355,Auto,Southeast,2022,High,0.06293,0.05941,540.02
ACC000356,Credit Card,Midwest,2021,Low,0.03648,0.06304,437.96
ACC000357,Mortgage,West,2021,High,0.03071,0.02821,55.27
ACC000358,Mortgage,Southeast,2019,Medium,0.01256,0.01501,71.16
ACC000359,Mortgage,Northeast,2022,Low,0.00692,0.00687,22.48
ACC000360,Auto,Midwest,2020,High,0.07338,0.07742,17.28
ACC000361,Commercial,Midwest,2023,Low,0.00609,0.0067,54.56
ACC000362,Mortgage,Southeast,2022,Medium,0.00972,0.01044,53.21
ACC000363,Credit Card,Midwest,2023,Medium,0.05727,0.08611,24.35
ACC000364,Mortgage,West,2023,Low,0.00421,0.012,116.01
ACC000365,Mortgage,Northeast,2020,Low,0.00884,0.00715,142.75
ACC000366,Credit Card,West,2020,High,0.17502,0.20869,146.07
ACC000367,Credit Card,Midwest,2023,Low,0.03168,0.05695,56.9
ACC000368,Commercial,West,2023,High,0.04038,0.0394,74.08
ACC000369,Auto,West,2022,Low,0.01203,0.02006,101.48
ACC000370,Auto,Northeast,2023,Low,0.00898,0.01172,395.62
ACC000371,Mortgage,Northeast,2022,Low,0.00478,0.001,65.88
ACC000372,Mortgage,Northeast,2019,Low,0.00577,0.00164,19.8
ACC000373,Commercial,Northeast,2021,High,0.04328,0.04969,100.95
ACC000374,Auto,Southeast,2020,Low,0.01591,0.01626,87.93
ACC000375,Mortgage,Southeast,2019,Medium,0.01503,0.01393,21.37
ACC000376,Mortgage,West,2021,Low,0.001,0.001,91.91
ACC000377,Mortgage,West,2021,Low,0.00311,0.00184,51.32
ACC000378,Credit Card,Southeast,2022,Low,0.03123,0.06688,135.17
ACC000379,Auto,Midwest,2022,Medium,0.02769,0.02489,245.62
ACC000380,Commercial,Southeast,2020,Medium,0.02353,0.02113,77.95
ACC000381,Auto,Midwest,2023,Low,0.00957,0.01197,274.04
ACC000382,Credit Card,Southeast,2021,High,0.16287,0.18871,102.79
ACC000383,Mortgage,West,2021,Low,0.00423,0.001,108.05
ACC000384,Mortgage,Northeast,2019,Medium,0.00976,0.00979,102.41
ACC000385,Mortgage,West,2023,Low,0.00234,0.00246,117.6
ACC000386,Mortgage,West,2020,Medium,0.01164,0.0084,28.45
